domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
tscb.fin.in,False,,False,False,,,,
uat-paytm.fin.in,False,,False,False,,,,
uatutkarsh.fin.in,False,,False,False,,,,
ubi.fin.in,False,,False,False,,,,
uco.fin.in,False,,False,False,,,,
ucoonline.fin.in,False,,False,False,,,,
ucouat.fin.in,False,,False,False,,,,
uidai.fin.in,False,,False,False,,,,
ujjivan.fin.in,False,,False,False,,,,
ujjivansfb.fin.in,False,,False,False,,,,
ukgb.fin.in,False,,False,False,,,,
union.fin.in,False,,False,False,,,,
unionbankdigital.fin.in,False,,False,False,,,,
unionbankofindia.fin.in,False,,False,False,,,,
unionbankonline.fin.in,False,,False,False,,,,
unionbankportal.fin.in,False,,False,False,,,,
united india.fin.in,False,,False,False,,,,
universal.fin.in,False,,False,False,,,,
upgb.fin.in,False,,False,False,,,,
utkarsh.fin.in,False,,False,False,,,,
varachha.fin.in,False,,False,False,,,,
vcbl.fin.in,False,,False,False,,,,
vcnb.fin.in,False,,False,False,,,,
vdcuat.fin.in,False,,False,False,,,,
vijaycooperative.fin.in,False,,False,False,,,,
vikas.fin.in,False,,False,False,,,,
vishweshwar.fin.in,False,,False,False,,,,
vjsbl.fin.in,False,,False,False,,,,
vpmccb.fin.in,False,,False,False,,,,
wbgb.fin.in,False,,False,False,,,,
wealth.fin.in,False,,False,False,,,,
yes.fin.in,False,,False,False,,,,
yesuat.fin.in,False,,False,False,,,,
zest.fin.in,False,,False,False,,,,
