domain,dns_resolves,ip_address,https_works,http_works,status_code,title,final_url,error
ib.equip.equitas.bank.in,True,99.84.160.74,True,False,200,Equitas,https://ib.equip.equitas.bank.in/,
ib.suryoday.bank.in,True,103.183.97.55,True,False,200,Suryoday Bank,https://ib.suryoday.bank.in/,
ibanking.agvb.bank.in,True,103.109.224.143,True,False,200,AGVB Internet Banking,https://ibanking.agvb.bank.in/,
ibanking.hpgb.bank.in,True,103.109.224.77,True,False,200,HPGB E-BANKING :: HOME,https://ibanking.hpgb.bank.in/,
ibanking.manipurrural.bank.in,True,103.109.225.145,True,False,200,MRB Internet Banking,https://ibanking.manipurrural.bank.in/,
ibanking.pnb.bank.in,True,103.109.224.175,True,False,200,Punjab National Bank- Internet Banking Login,https://ibanking.pnb.bank.in/,
ibanking.shgb.bank.in,True,103.109.224.76,True,False,200,Haryana Gramin Bank Internet Banking,https://ibanking.shgb.bank.in/,
ibanking.tripuragramin.bank.in,True,103.109.227.136,True,False,200,Tripura Gramin Bank | Internet Banking,https://ibanking.tripuragramin.bank.in/,
ibanking.upgb.bank.in,True,117.250.145.43,False,False,0,,,URLError: <urlopen error [SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1000)>
ibanking.wbgb.bank.in,True,103.109.225.251,True,False,200,WBGB Internet Banking,https://ibanking.wbgb.bank.in/,
ibot.icici.bank.in,True,34.93.254.184,True,False,403,,https://ibot.icici.bank.in/,
ibotcug.icici.bank.in,True,34.93.6.196,True,False,403,,https://ibotcug.icici.bank.in/,
ibotuat.icici.bank.in,True,35.244.4.104,True,False,403,,https://ibotuat.icici.bank.in/,
icc.centralbank.bank.in,False,,False,False,,,,
icmt.unionbankofindia.bank.in,False,,False,False,,,,
icorp.pnb.bank.in,False,,False,False,,,,
icorpplus.pnb.bank.in,False,,False,False,,,,
idcom-pr.hdfc.bank.in,False,,False,False,,,,
idfcfirstbankcareers-stg.idfcfirst.bank.in,True,43.204.173.203,True,False,200,,https://idfcfirstbankcareers-stg.idfcfirst.bank.in/in/en,
ifms.hdfc.bank.in,True,159.60.128.212,True,False,200,Welcome to Intellect ARX from Intellect Design Arena LTD.,https://ifms.hdfc.bank.in:443/ArmorAuthn/index.jsp?redirectURL=https://ifms.hdfc.bank.in:443/AAL/AALIndex.jsp,
ifsc.bankofbaroda.bank.in,True,103.248.62.44,False,False,0,,,URLError: <urlopen error _ssl.c:983: The handshake operation timed out>
ilens.icici.bank.in,True,14.140.248.222,True,False,200,ICICI iLens,https://ilens.icici.bank.in/login/,
ilensuat.icici.bank.in,True,14.140.248.119,True,False,200,ICICI iLens,https://ilensuat.icici.bank.in/login/,
images.kotak.bank.in,True,104.18.16.8,True,False,200,,https://images.kotak.bank.in/,
ims.airtelpayments.bank.in,False,,False,False,,,,
in.dohabank.bank.in,False,,False,False,,,,
inb.aprb.bank.in,False,,False,False,,,,
inb.bharuchdccb.bank.in,True,142.79.249.112,False,False,0,,,URLError: <urlopen error [Errno 101] Network is unreachable>
inb.cgb.bank.in,False,,False,False,,,,
inb.jrgbank.bank.in,False,,False,False,,,,
inb.kvb.bank.in,True,45.223.136.53,True,False,200,,https://inb.kvb.bank.in/,
inb.mrb.bank.in,True,142.79.249.17,True,False,200,MIZORAM RURAL BANK,https://inb.mrb.bank.in/OnlineMZGB/,
inb.tgb.bank.in,True,43.225.0.49,True,False,200,TELANGANA GRAMEENA BANK,https://inb.tgb.bank.in/OnlineTGB/,
inb.ukgb.bank.in,True,142.79.249.15,True,False,200,Uttarakhand Gramin Bank,https://inb.ukgb.bank.in/OnlineUTGB/,
indie.indusind.bank.in,True,159.60.131.186,False,False,0,,,TimeoutError: The read operation timed out
indiebiz.indusind.bank.in,True,159.60.131.186,True,False,200,INDIE For Business,https://indiebiz.indusind.bank.in/,
indrayani.bank.in,True,88.222.208.234,True,False,200,INDRAYANI CO-OPERATIVE BANK LTD &#8211; INDRAYANI CO-OPERATIVE BANK LTD,https://indrayani.bank.in/,
indsig.indusind.bank.in,True,159.60.131.186,True,False,200,,https://indsig.indusind.bank.in/,
induscollect.indusind.bank.in,True,159.60.131.186,True,False,200,,https://induscollect.indusind.bank.in/,
indusdirect.indusind.bank.in,True,159.60.131.186,True,False,200,Indus Direct,https://indusdirect.indusind.bank.in/indusdirect/auth?TAM_OP=login&URL=https%3A%2F%2Findusdirect.indusind.bank.in%2F,
induseasycredit.indusind.bank.in,True,108.139.47.57,True,False,200,Get Instant Personal loan or Credit Card Online | IndusInd Bank,https://induseasycredit.indusind.bank.in/,
induseasywheels.indusind.bank.in,True,151.101.1.124,True,False,200,,https://induseasywheels.indusind.bank.in/,
indusforex.indusind.bank.in,True,159.60.131.186,True,False,200,Indus Forex,https://indusforex.indusind.bank.in/,
induslas.indusind.bank.in,True,159.60.131.186,True,False,503,,https://induslas.indusind.bank.in/,
indusnet.indusind.bank.in,True,159.60.131.186,True,False,200,,https://indusnet.indusind.bank.in/,
indussmart.indusind.bank.in,True,159.60.131.186,True,False,200,,https://indussmart.indusind.bank.in/,
indusspeedremit.indusind.bank.in,True,159.60.131.186,True,False,404,,https://indusspeedremit.indusind.bank.in/,
